5C  A5 2
2F6B  76BF 3
2F6C  76EE 3
2F6D  77DB 3
2F6E  77E2 3
2F6F  77F3 3
2F70  793A 3
2F71  79B8 3
2F72  79BE 3
2F73  7A74 3
2F74  7ACB 3
2F75  7AF9 3
2F76  7C73 3
2F77  7CF8 3
2F78  7F36 3
2F79  7F51 3
2F7A  7F8A 3
2F7B  7FBD 3
2F7C  8001 3
2F7D  800C 3
2F7E  8012 3
2F7F  8033 3
2F80  807F 3
2F81  8089 3
2F82  81E3 3
2F83  81EA 3
2F84  81F3 3
2F85  81FC 3
2F86  820C 3
2F87  821B 3
2F88  821F 3
2F89  826E 3
2F8A  8272 3
2F8B  8278 3
2F8C  864D 3
2F8D  866B 3
2F8E  8840 3
2F8F  884C 3
2F90  8863 3
2F91  897E 3
2F92  898B 3
2F93  89D2 3
2F94  8A00 3
2F95  8C37 3
2F96  8C46 3
2F97  8C55 3
2F98  8C78 3
2F99  8C9D 3
2F9A  8D64 3
2F9B  8D70 3
2F9C  8DB3 3
2F9D  8EAB 3
2F9E  8ECA 3
2F9F  8F9B 3
2FA0  8FB0 3
2FA2  9091 3
2FA3  9149 3
2FA4  91C6 3
2FA5  91CC 3
2FA6  91D1 3
2FA7  9577 3
2FA8  9580 3
2FA9  961C 3
2FAA  96B6 3
2FAB  96B9 3
2FAC  96E8 3
2FAD  9751 3
2FAE  975E 3
2FAF  9762 3
2FB0  9769 3
2FB1  97CB 3
2FB2  97ED 3
2FB3  97F3 3
2FB4  9801 3
2FB5  98A8 3
2FB6  98DB 3
2FB7  98DF 3
2FB8  9996 3
2FB9  9999 3
2FBA  99AC 3
2FBB  9AA8 3
2FBC  9AD8 3
2FBD  9ADF 3
2FBE  9B25 3
2FBF  9B2F 3
2FC0  9B32 3
2FC1  9B3C 3
2FC2  9B5A 3
2FC3  9CE5 3
2FC4  9E75 3
2FC5  9E7F 3
2FC6  9EA5 3
2FC7  9EBB 3
2FC8  9EC3 3
2FC9  9ECD 3
2FCA  9ED1 3
2FCB  9EF9 3
2FCC  9EFD 3
2FCD  9F0E 3
2FCE  9F13 3
2FCF  9F20 3
2FD0  9F3B 3
2FD1  9F4A 3
2FD2  9F52 3
2FD3  9F8D 3
2FD4  9F9C 3
2FD5  9FA0 3
3000  20 2
3008  3C 2
3009  3E 2
3036  3012 3
3038  5341 3
3039  5344 3
303A  5345 3
3094  3046 3
3095  304B 3
3096  3051 3
309F  3088 2
30A0  3D 2
30F7  30EF 3
30F8  30F0 3
30F9  30F1 3
30FA  30F2 3
30FF  30B3 2
3192  4E00 3
3193  4E8C 3
3194  4E09 3
3195  56DB 3
3196  4E0A 3
3197  4E2D 3
3198  4E0B 3
3199  7532 3
319A  4E59 3
319B  4E19 3
319C  4E01 3
319D  5929 3
319E  5730 3
319F  4EBA 3
31F0  30AF 3
31F1  30B7 3
31F2  30B9 3
31F3  30C8 3
31F4  30CC 3
31F5  30CF 3
31F6  30D2 3
31F7  30D5 3
31F8  30D8 3
31F9  30DB 3
31FA  30E0 3
31FB  30E9 3
31FC  30EA 3
31FD  30EB 3
31FE  30EC 3
31FF  30ED 3
3220  28 2
3221  28 2
3222  28 2
3223  28 2
3224  28 2
3225  28 2
3226  28 2
3227  28 2
3228  28 2
3229  28 2
322A  28 2
322B  28 2
322C  28 2
322D  28 2
322E  28 2
322F  28 2
3230  28 2
3231  28 2
3232  28 2
3233  28 2
3234  28 2
3235  28 2
3236  28 2
3237  28 2
3238  28 2
3239  28 2
323A  28 2
323B  28 2
323C  28 2
323D  28 2
323E  28 2
323F  28 2
3240  28 2
3241  28 2
3242  28 2
3243  28 2
3244  28 2
3245  28 2
3246  28 2
3247  28 2
3250  50 2
3251  28 2
3252  28 2
3253  28 2
3254  28 2
3255  28 2
3256  28 2
3257  28 2
3258  28 2
3259  28 2
325A  28 2
325B  28 2
325C  28 2
325D  28 2
325E  28 2
325F  28 2
3280  28 2
3281  28 2
3282  28 2
3283  28 2
3284  28 2
3285  28 2
3286  28 2
3287  28 2
3288  28 2
3289  28 2
328A  28 2
328B  28 2
328C  28 2
328D  28 2
328E  28 2
328F  28 2
3290  28 2
3291  28 2
3292  28 2
3293  28 2
3294  28 2
3295  28 2
3296  28 2
3297  28 2
3298  28 2
3299  28 2
329A  28 2
329B  28 2
329C  28 2
329D  28 2
329E  28 2
329F  28 2
32A0  28 2
32A1  28 2
32A2  28 2
32A3  28 2
32A4  28 2
32A5  28 2
32A6  28 2
32A7  28 2
32A8  28 2
32A9  28 2
32AA  28 2
32AB  28 2
32AC  28 2
32AD  28 2
32AE  28 2
32AF  28 2
32B0  28 2
32B1  28 2
32B2  28 2
32B3  28 2
32B4  28 2
32B5  28 2
32B6  28 2
32B7  28 2
32B8  28 2
32B9  28 2
32BA  28 2
32BB  28 2
32BC  28 2
32BD  28 2
32BE  28 2
32BF  28 2
32C0  31 2
32C1  32 2
32C2  33 2
32C3  34 2
32C4  35 2
32C5  36 2
32C6  37 2
32C7  38 2
32C8  39 2
32C9  31 2
32CA  31 2
32CB  31 2
32CC  48 2
32CD  65 2
32CE  65 2
32CF  4C 2
32D0  28 2
32D1  28 2
32D2  28 2
32D3  28 2
32D4  28 2
32D5  28 2
32D6  28 2
32D7  28 2
32D8  28 2
32D9  28 2
32DA  28 2
32DB  28 2
32DC  28 2
32DD  28 2
32DE  28 2
32DF  28 2
32E0  28 2
32E1  28 2
32E2  28 2
32E3  28 2
32E4  28 2
32E5  28 2
32E6  28 2
32E7  28 2
32E8  28 2
32E9  28 2
32EA  28 2
32EB  28 2
32EC  28 2
32ED  28 2
32EE  28 2
32EF  28 2
32F0  28 2
32F1  28 2
32F2  28 2
32F3  28 2
32F4  28 2
32F5  28 2
32F6  28 2
32F7  28 2
32F8  28 2
32F9  28 2
32FA  28 2
32FB  28 2
32FC  28 2
32FD  28 2
32FE  28 2
32FF  4EE4 2
3300  30A2 2
3301  30A2 2
3302  30A2 2
3303  30A2 2
3304  30A4 2
3305  30A4 2
3306  30A6 2
3307  30A8 2
3308  30A8 2
3309  30AA 2
330A  30AA 2
330B  30AB 2
330C  30AB 2
330D  30AB 2
330E  30AC 2
330F  30AC 2
3310  30AE 2
3311  30AE 2
3312  30AD 2
3313  30AE 2
3314  30AD 2
3315  30AD 2
3316  30AD 2
3317  30AD 2
3318  30B0 2
3319  30B0 2
331A  30AF 2
331B  30AF 2
331C  30B1 2
331D  30B3 2
331E  30B3 2
331F  30B5 2
3320  30B5 2
3321  30B7 2
3322  30BB 2
3323  30BB 2
3324  30C0 2
3325  30C7 2
3326  30C9 2
3327  30C8 2
3328  30CA 2
3329  30CE 2
332A  30CF 2
332B  30D1 2
332C  30D1 2
332D  30D0 2
332E  30D4 2
332F  30D4 2
3330  30D4 2
3331  30D3 2
3332  30D5 2
3333  30D5 2
3334  30D6 2
3335  30D5 2
3336  30D8 2
3337  30DA 2
3338  30DA 2
3339  30D8 2
333A  30DA 2
333B  30DA 2
333C  30D9 2
333D  30DD 2
333E  30DC 2
333F  30DB 2
3340  30DD 2
3341  30DB 2
3342  30DB 2
3343  30DE 2
3344  30DE 2
3345  30DE 2
3346  30DE 2
3347  30DE 2
3348  30DF 2
3349  30DF 2
334A  30DF 2
334B  30E1 2
334C  30E1 2
334D  30E1 2
334E  30E4 2
334F  30E4 2
3350  30E6 2
3351  30EA 2
3352  30EA 2
3353  30EB 2
3354  30EB 2
3355  30EC 2
3356  30EC 2
3357  30EF 2
3358  30 2
3359  31 2
335A  32 2
335B  33 2
335C  34 2
335D  35 2
335E  36 2
335F  37 2
3360  38 2
3361  39 2
3362  31 2
3363  31 2
3364  31 2
3365  31 2
3366  31 2
3367  31 2
3368  31 2
3369  31 2
336A  31 2
336B  31 2
336C  32 2
336D  32 2
336E  32 2
336F  32 2
3370  32 2
3371  68 2
3372  64 2
3373  41 2
3374  62 2
3375  6F 2
3376  70 2
3377  64 2
3378  64 2
3379  64 2
337A  49 2
337B  5E73 2
337C  662D 2
337D  5927 2
337E  660E 2
337F  682A 2
3380  70 2
3381  6E 2
3382  B5 2
3383  6D 2
3384  6B 2
3385  4B 2
3386  4D 2
3387  47 2
3388  63 2
3389  6B 2
338A  70 2
338B  6E 2
338C  B5 2
338D  B5 2
338E  6D 2
338F  6B 2
3390  48 2
3391  6B 2
3392  4D 2
3393  47 2
3394  54 2
3395  B5 2
3396  6D 2
3397  64 2
3398  6B 2
3399  66 2
339A  6E 2
339B  B5 2
339C  6D 2
339D  63 2
339E  6B 2
339F  6D 2
33A0  63 2
33A1  6D 2
33A2  6B 2
33A3  6D 2
33A4  63 2
33A5  6D 2
33A6  6B 2
33A7  6D 2
33A8  6D 2
33A9  50 2
33AA  6B 2
33AB  4D 2
33AC  47 2
33AD  72 2
33AE  72 2
33AF  72 2
33B0  70 2
33B1  6E 2
33B2  B5 2
33B3  6D 2
33B4  70 2
33B5  6E 2
33B6  B5 2
33B7  6D 2
33B8  6B 2
33B9  4D 2
33BA  70 2
33BB  6E 2
33BC  B5 2
33BD  6D 2
33BE  6B 2
33BF  4D 2
33C0  6B 2
33C1  4D 2
33C2  61 2
33C3  42 2
33C4  63 2
33C5  63 2
33C6  43 2
33C7  43 2
33C8  64 2
33C9  47 2
33CA  68 2
33CB  48 2
33CC  69 2
33CD  4B 2
33CE  4B 2
33CF  6B 2
33D0  6C 2
33D1  6C 2
33D2  6C 2
33D3  6C 2
33D4  6D 2
33D5  6D 2
33D6  6D 2
33D7  50 2
33D8  70 2
33D9  50 2
33DA  50 2
33DB  73 2
33DC  53 2
33DD  57 2
33DE  56 2
33DF  41 2
33E0  31 2
33E1  32 2
33E2  33 2
33E3  34 2
33E4  35 2
33E5  36 2
33E6  37 2
33E7  38 2
33E8  39 2
33E9  31 2
33EA  31 2
33EB  31 2
33EC  31 2
33ED  31 2
33EE  31 2
33EF  31 2
33F0  31 2
33F1  31 2
33F2  31 2
33F3  32 2
33F4  32 2
33F5  32 2
33F6  32 2
33F7  32 2
33F8  32 2
33F9  32 2
33FA  32 2
33FB  32 2
33FC  32 2
33FD  33 2
33FE  33 2
33FF  67 2
A69C  44A 3
A69D  44C 3
A7F8  126 3
A7F9  153 3
F900  8C48 3
F901  66F4 3
F902  8ECA 3
F903  8CC8 3
F904  6ED1 3
F905  4E32 3
F906  53E5 3
F907  9F9C 3
F908  9F9C 3
F909  5951 3
F90A  91D1 3
F90B  5587 3
F90C  5948 3
F90D  61F6 3
F90E  7669 3
F90F  7F85 3
F910  863F 3
F911  87BA 3
F912  88F8 3
F913  908F 3
F914  6A02 3
F915  6D1B 3
F916  70D9 3
F917  73DE 3
F918  843D 3
F919  916A 3
F91A  99F1 3
F91B  4E82 3
F91C  5375 3
F91D  6B04 3
F91E  721B 3
F91F  862D 3
F920  9E1E 3
F921  5D50 3
F922  6FEB 3
F923  85CD 3
F924  8964 3
F925  62C9 3
F926  81D8 3
F927  881F 3
F928  5ECA 3
F929  6717 3
F92A  6D6A 3
F92B  72FC 3
F92C  90CE 3
F92D  4F86 3
F92E  51B7 3
F92F  52DE 3
F930  64C4 3
F931  6AD3 3
F932  7210 3
F933  76E7 3
F934  8001 3
F935  8606 3
F936  865C 3
F937  8DEF 3
F938  9732 3
F939  9B6F 3
F93A  9DFA 3
F93B  788C 3
F93C  797F 3
F93D  7DA0 3
F93E  83C9 3
F93F  9304 3
F940  9E7F 3
F941  8AD6 3
F942  58DF 3
F943  5F04 3
F944  7C60 3
F945  807E 3
F946  7262 3
F947  78CA 3
F948  8CC2 3
F949  96F7 3
F94A  58D8 3
F94B  5C62 3
F94C  6A13 3
F94D  6DDA 3
F94E  6F0F 3
F94F  7D2F 3
F950  7E37 3
F951  964B 3
F952  52D2 3
F953  808B 3
F954  51DC 3
F955  51CC 3
F956  7A1C 3
F957  7DBE 3
F958  83F1 3
F959  9675 3
F95A  8B80 3
F95B  62CF 3
F95C  6A02 3
F95D  8AFE 3
F95E  4E39 3
F95F  5BE7 3
F960  6012 3
F961  7387 3
F962  7570 3
F963  5317 3
F964  78FB 3
F965  4FBF 3
F966  5FA9 3
F967  4E0D 3
F968  6CCC 3
F969  6578 3
F96A  7D22 3
F96B  53C3 3
F96C  585E 3
F96D  7701 3
F96E  8449 3
F96F  8AAA 3
F970  6BBA 3
F971  8FB0 3
F972  6C88 3
F973  62FE 3
F974  82E5 3
F975  63A0 3
F976  7565 3
F977  4EAE 3
F978  5169 3
F979  51C9 3
F97A  6881 3
F97B  7CE7 3
F97C  826F 3
F97D  8AD2 3
F97E  91CF 3
F97F  52F5 3
F980  5442 3
F981  5973 3
F982  5EEC 3
F983  65C5 3
F984  6FFE 3
F985  792A 3
F986  95AD 3
F987  9A6A 3
F988  9E97 3
F989  9ECE 3
F98A  529B 3
F98B  66C6 3
F98C  6B77 3
F98D  8F62 3
F98E  5E74 3
F98F  6190 3
F990  6200 3
F991  649A 3
F992  6F23 3
F993  7149 3
F994  7489 3
F996  7DF4 3
F997  806F 3
F998  8F26 3
F999  84EE 3
F99A  9023 3
F99B  934A 3
F99C  5217 3
F99D  52A3 3
F99E  54BD 3
F99F  70C8 3
F9A0  88C2 3
F9A1  8AAA 3
F9A2  5EC9 3
F9A3  5FF5 3
F9A4  637B 3
F9A5  6BAE 3
F9A6  7C3E 3
F9A7  7375 3
F9A8  4EE4 3
F9A9  56F9 3
F9AA  5BE7 3
F9AB  5DBA 3
F9AC  601C 3
F9AD  73B2 3
F9AE  7469 3
F9AF  7F9A 3
F9B0  8046 3
F9B1  9234 3
F9B2  96F6 3
F9B3  9748 3
F9B4  9818 3
F9B5  4F8B 3
F9B6  79AE 3
F9B7  91B4 3
F9B8  96B8 3
F9B9  60E1 3
F9BA  4E86 3
F9BB  50DA 3
F9BC  5BEE 3
F9BD  5C3F 3
F9BE  6599 3
F9BF  6A02 3
F9C0  71CE 3
F9C1  7642 3
F9C2  84FC 3
F9C3  907C 3
F9C4  9F8D 3
F9C5  6688 3
F9C6  962E 3
F9C7  5289 3
F9C8  677B 3
F9C9  67F3 3
F9CA  6D41 3
F9CB  6E9C 3
F9CC  7409 3
F9CD  7559 3
F9CE  786B 3
F9CF  7D10 3
F9D0  985E 3
F9D1  516D 3
F9D2  622E 3
F9D3  9678 3
F9D4  502B 3
F9D5  5D19 3
F9D6  6DEA 3
F9D7  8F2A 3
F9D8  5F8B 3
F9D9  6144 3
F9DA  6817 3
F9DB  7387 3
F9DC  9686 3
F9DD  5229 3
F9DE  540F 3
F9DF  5C65 3
F9E0  6613 3
F9E1  674E 3
F9E2  68A8 3
F9E3  6CE5 3
F9E4  7406 3
F9E5  75E2 3
F9E6  7F79 3
F9E7  88CF 3
F9E8  88E1 3
F9E9  91CC 3
F9EA  96E2 3
F9EB  533F 3
F9EC  6EBA 3
F9ED  541D 3
F9EE  71D0 3
F9EF  7498 3
F9F0  85FA 3
F9F1  96A3 3
F9F2  9C57 3
F9F3  9E9F 3
F9F4  6797 3
F9F5  6DCB 3
F9F6  81E8 3
F9F7  7ACB 3
F9F8  7B20 3
F9F9  7C92 3
F9FA  72C0 3
F9FB  7099 3
F9FC  8B58 3
F9FD  4EC0 3
F9FE  8336 3
F9FF  523A 3
FA00  5207 3
FA01  5EA6 3
FA02  62D3 3
FA03  7CD6 3
FA04  5B85 3
FA05  6D1E 3
FA06  66B4 3
FA07  8F3B 3
FA08  884C 3
FA09  964D 3
FA0A  898B 3
FA0B  5ED3 3
FA0C  5140 3
FA10  585A 3
FA12  6674 3
FA15  51DE 3
FA16  732A 3
FA17  76CA 3
FA18  793C 3
FA19  795E 3
FA1A  7965 3
FA1B  798F 3
FA1C  9756 3
FA1D  7CBE 3
FA1E  7FBD 3
FA22  8AF8 3
FA25  9038 3
FA26  90FD 3
FA2A  98EF 3
FA2B  98FC 3
FA2C  9928 3
FA2D  9DB4 3
FA2E  90DE 3
FA2F  96B7 3
FA30  4FAE 3
FA31  50E7 3
FA32  514D 3
FA33  52C9 3
FA34  52E4 3
FA35  5351 3
FA36  559D 3
FA37  5606 3
FA38  5668 3
FA39  5840 3
FA3A  58A8 3
FA3B  5C64 3
FA3C  5C6E 3
FA3D  6094 3
FA3E  6168 3
FA3F  618E 3
FA40  61F2 3
FA41  654F 3
FA42  65E2 3
FA43  6691 3
FA44  6885 3
FA45  6D77 3
FA46  6E1A 3
FA47  6F22 3
FA48  716E 3
FA4A  7422 3
FA4B  7891 3
FA4C  793E 3
FA4D  7949 3
FA4E  7948 3
FA4F  7950 3
FA50  7956 3
FA51  795D 3
FA52  798D 3
FA53  798E 3
FA54  7A40 3
FA55  7A81 3
FA56  7BC0 3
FA57  7DF4 3
FA58  7E09 3
FA59  7E41 3
FA5A  7F72 3
FA5B  8005 3
FA5C  81ED 3
FA5F  8457 3
FA60  8910 3
FA61  8996 3
FA62  8B01 3
FA63  8B39 3
FA64  8CD3 3
FA65  8D08 3
FA67  9038 3
FA68  96E3 3
FA69  97FF 3
FA6A  983B 3
FA6B  6075 3
FA6D  8218 3
FA70  4E26 3
FA71  51B5 3
FA72  5168 3
FA73  4F80 3
FA74  5145 3
FA75  5180 3
FA76  52C7 3
FA77  52FA 3
FA78  559D 3
FA79  5555 3
FA7A  5599 3
FA7B  55E2 3
FA7C  585A 3
FA7D  58B3 3
FA7E  5944 3
FA7F  5954 3
FA80  5A62 3
FA81  5B28 3
FA82  5ED2 3
FA83  5ED9 3
FA84  5F69 3
FA85  5FAD 3
FA86  60D8 3
FA87  614E 3
FA88  6108 3
FA89  618E 3
FA8B  61F2 3
FA8C  6234 3
FA8D  63C4 3
FA8E  641C 3
FA8F  6452 3
FA90  6556 3
FA91  6674 3
FA92  6717 3
FA93  671B 3
FA94  6756 3
FA95  6B79 3
FA96  6BBA 3
FA97  6D41 3
FA99  6ECB 3
FA9A  6F22 3
FA9B  701E 3
FA9C  716E 3
FA9D  77A7 3
FA9E  7235 3
FA9F  72AF 3
FAA0  732A 3
FAA1  7471 3
FAA3  753B 3
FAA4  761D 3
FAA5  761F 3
FAA6  76CA 3
FAA7  76DB 3
FAA8  76F4 3
FAA9  774A 3
FAAA  7740 3
FAAB  78CC 3
FAAC  7AB1 3
FAAD  7BC0 3
FAAF  7D5B 3
FAB0  7DF4 3
FAB1  7F3E 3
FAB2  8005 3
FAB3  8352 3
FAB4  83EF 3
FAB5  8779 3
FAB6  8941 3
FAB7  8986 3
FAB8  8996 3
FAB9  8ABF 3
FABA  8AF8 3
FABB  8ACB 3
FABC  8B01 3
FABD  8AFE 3
FABE  8AED 3
FABF  8B39 3
FAC0  8B8A 3
FAC1  8D08 3
FAC2  8F38 3
FAC3  9072 3
FAC4  9199 3
FAC5  9276 3
FAC6  967C 3
FAC7  96E3 3
FAC8  9756 3
FACA  97FF 3
FACC  983B 3
FACD  9B12 3
FACE  9F9C 3
FAD8  9F43 3
FB00  66 2
FB01  66 2
FB02  66 2
FB03  66 2
FB04  66 2
FB05  73 2
FB06  73 2
FB1D  5D9 3
FB1F  5D9 2
FB20  5E2 3
FB21  5D0 3
FB22  5D3 3
FB23  5D4 3
FB24  5DB 3
FB25  5DC 3
FB26  5DD 3
FB27  5E8 3
FB28  5EA 3
FB29  2B 2
FB2A  5E9 3
FB2B  5E9 3
FB2C  5E9 3
FB2D  5E9 3
FB2E  5D0 3
FB2F  5D0 3
FB30  5D0 3
FB31  5D1 3
FB32  5D2 3
FB33  5D3 3
FB34  5D4 3
FB35  5D5 3
FB36  5D6 3
FB38  5D8 3
FB39  5D9 3
FB3A  5DA 3
FB3B  5DB 3
FB3C  5DC 3
FB3E  5DE 3
FB40  5E0 3
FB41  5E1 3
FB43  5E3 3
FB44  5E4 3
FB46  5E6 3
FB47  5E7 3
FB48  5E8 3
FB49  5E9 3
FB4A  5EA 3
FB4B  5D5 3
FB4C  5D1 3
FB4D  5DB 3
FB4E  5E4 3
FB4F  5D0 2
FE10  2C 2
FE11  3001 3
FE12  3002 3
FE13  3A 2
FE14  3B 2
FE15  21 2
FE19  2E 2
FE30  2E 2
FE32  2013 3
FE33  5F 2
FE34  5F 2
FE35  28 2
FE36  29 2
FE37  7B 2
FE38  7D 2
FE39  3014 3
FE3A  3015 3
FE3B  3010 3
FE3C  3011 3
FE3D  300A 3
FE3E  300B 3
FE3F  3008 3
FE40  3009 3
FE41  300C 3
FE42  300D 3
FE43  300E 3
FE44  300F 3
FE47  5B 2
FE48  5D 2
FE49  203E 2
FE4A  203E 2
FE4B  203E 2
FE4C  203E 2
FE4D  5F 2
FE4E  5F 2
FE4F  5F 2
FE50  2C 2
FE51  3001 3
FE52  2E 2
FE54  3B 2
FE55  3A 2
FE57  21 2
FE58  2014 3
FE59  28 2
FE5A  29 2
FE5B  7B 2
FE5C  7D 2
FE5D  3014 3
FE5E  3015 3
FE5F  23 2
FE60  26 2
FE61  2A 2
FE62  2B 2
FE63  2D 2
FE64  3C 2
FE65  3E 2
FE66  3D 2
FE68  5C 2
FE69  24 2
FE6A  25 2
FE6B  40 2
FF01  21 2
FF02  22 2
FF03  23 2
FF04  24 2
FF05  25 2
FF06  26 2
FF07  27 2
FF08  28 2
FF09  29 2
FF0A  2A 2
FF0B  2B 2
FF0C  2C 2
FF0D  2D 2
FF0E  2E 2
FF0F  2F 2
FF10  30 2
FF11  31 2
FF12  32 2
FF13  33 2
FF14  34 2
FF15  35 2
FF16  36 2
FF17  37 2
FF18  38 2
FF19  39 2
FF1A  3A 2
FF1B  3B 2
FF1C  3C 2
FF1D  3D 2
FF1E  3E 2
FF20  40 2
FF21  41 2
FF22  42 2
FF23  43 2
FF24  44 2
FF25  45 2
FF26  46 2
FF27  47 2
FF28  48 2
FF29  49 2
FF2A  4A 2
FF2B  4B 2
FF2C  4C 2
FF2D  4D 2
FF2E  4E 2
FF2F  4F 2
FF30  50 2
FF31  51 2
FF32  52 2
FF33  53 2
FF34  54 2
FF35  55 2
FF36  56 2
FF37  57 2
FF38  58 2
FF39  59 2
FF3A  5A 2
FF3B  5B 2
FF3C  5C 2
FF3D  5D 2
FF3E  5E 2
FF3F  5F 2
FF40  60 2
FF41  61 2
FF42  62 2
FF43  63 2
FF44  64 2
FF45  65 2
FF46  66 2
FF47  67 2
FF48  68 2
FF49  69 2
FF4A  6A 2
FF4B  6B 2
FF4C  6C 2
FF4D  6D 2
FF4E  6E 2
FF4F  6F 2
FF50  70 2
FF51  71 2
FF52  72 2
FF53  73 2
FF54  74 2
FF55  75 2
FF56  76 2
FF57  77 2
FF58  78 2
FF59  79 2
FF5A  7A 2
FF5B  7B 2
FF5C  7C 2
FF5D  7D 2
FF5E  7E 2
FF61  3002 3
FF62  300C 3
FF63  300D 3
FF64  3001 3
FF66  30F2 3
FF67  30A1 3
FF68  30A3 3
FF69  30A5 3
FF6A  30A7 3
FF6B  30A9 3
FF6C  30E3 3
FF6D  30E5 3
FF6E  30E7 3
FF6F  30C3 3
FF71  30A2 3
FF72  30A4 3
FF73  30A6 3
FF74  30A8 3
FF75  30AA 3
FF76  30AB 3
FF77  30AD 3
FF78  30AF 3
FF79  30B1 3
FF7A  30B3 3
FF7B  30B5 3
FF7C  30B7 3
FF7D  30B9 3
FF7E  30BB 3
FF7F  30BD 3
FF80  30BF 3
FF81  30C1 3
FF82  30C4 3
FF83  30C6 3
FF84  30C8 3
FF85  30CA 3
FF86  30CB 3
FF87  30CC 3
FF88  30CD 3
FF89  30CE 3
FF8A  30CF 3
FF8B  30D2 3
FF8C  30D5 3
FF8D  30D8 3
FF8E  30DB 3
FF8F  30DE 3
FF90  30DF 3
FF91  30E0 3
FF92  30E1 3
FF93  30E2 3
FF94  30E4 3
FF95  30E6 3
FF96  30E8 3
FF97  30E9 3
FF98  30EA 3
FF99  30EB 3
FF9A  30EC 3
FF9B  30ED 3
FF9C  30EF 3
FF9D  30F3 3
FFA0  3164 3
FFA1  3131 3
FFA2  3132 3
FFA3  3133 3
FFA4  3134 3
FFA5  3135 3
FFA6  3136 3
FFA7  3137 3
FFA8  3138 3
FFA9  3139 3
FFAA  313A 3
FFAB  313B 3
FFAC  313C 3
FFAD  313D 3
FFAE  313E 3
FFAF  313F 3
FFB0  3140 3
FFB1  3141 3
FFB2  3142 3
FFB3  3143 3
FFB4  3144 3
FFB5  3145 3
FFB6  3146 3
FFB7  3147 3
FFB8  3148 3
FFB9  3149 3
FFBA  314A 3
FFBB  314B 3
FFBC  314C 3
FFBD  314D 3
FFBE  314E 3
FFC2  314F 3
FFC3  3150 3
FFC4  3151 3
FFC5  3152 3
FFC6  3153 3
FFC7  3154 3
FFCA  3155 3
FFCB  3156 3
FFCC  3157 3
FFCD  3158 3
FFCE  3159 3
FFCF  315A 3
FFD2  315B 3
FFD3  315C 3
FFD4  315D 3
FFD5  315E 3
FFD6  315F 3
FFD7  3160 3
FFDA  3161 3
FFDB  3162 3
FFDC  3163 3
FFE0  A2 3
FFE1  A3 3
FFE2  AC 3
FFE3  AF 3
FFE4  A6 3
FFE5  A5 3
FFE8  2502 3
FFE9  2190 3
FFEA  2191 3
FFEB  2192 3
FFEC  2193 3
FFED  25A0 3
FFEE  25CB 3
1D400  41 2
1D401  42 2
1D402  43 2
1D403  44 2
1D404  45 2
1D405  46 2
1D406  47 2
1D407  48 2
1D408  49 2
1D409  4A 2
1D40A  4B 2
1D40B  4C 2
1D40C  4D 2
1D40D  4E 2
1D40E  4F 2
1D40F  50 2
1D410  51 2
1D411  52 2
1D412  53 2
1D413  54 2
1D414  55 2
1D415  56 2
1D416  57 2
1D417  58 2
1D418  59 2
1D419  5A 2
1D41A  61 2
1D41B  62 2
1D41C  63 2
1D41D  64 2
1D41E  65 2
1D41F  66 2
1D420  67 2
1D421  68 2
1D422  69 2
1D423  6A 2
1D424  6B 2
1D425  6C 2
1D426  6D 2
1D427  6E 2
1D428  6F 2
1D429  70 2
1D42A  71 2
1D42B  72 2
1D42C  73 2
1D42D  74 2
1D42E  75 2
1D42F  76 2
1D430  77 2
1D431  78 2
1D432  79 2
1D433  7A 2
1D434  41 2
1D435  42 2
1D436  43 2
1D437  44 2
1D438  45 2
1D439  46 2
1D43A  47 2
1D43B  48 2
1D43C  49 2
1D43D  4A 2
1D43E  4B 2
1D43F  4C 2
1D440  4D 2
1D441  4E 2
1D442  4F 2
1D443  50 2
1D444  51 2
1D445  52 2
1D446  53 2
1D447  54 2
1D448  55 2
1D449  56 2
1D44A  57 2
1D44B  58 2
1D44C  59 2
1D44D  5A 2
1D44E  61 2
1D44F  62 2
1D450  63 2
1D451  64 2
1D452  65 2
1D453  66 2
1D454  67 2
1D456  69 2
1D457  6A 2
1D458  6B 2
1D459  6C 2
1D45A  6D 2
1D45B  6E 2
1D45C  6F 2
1D45D  70 2
1D45E  71 2
1D45F  72 2
1D460  73 2
1D461  74 2
1D462  75 2
1D463  76 2
1D464  77 2
1D465  78 2
1D466  79 2
1D467  7A 2
1D468  41 2
1D469  42 2
1D46A  43 2
1D46B  44 2
1D46C  45 2
1D46D  46 2
1D46E  47 2
1D46F  48 2
1D470  49 2
1D471  4A 2
1D472  4B 2
1D473  4C 2
1D474  4D 2
1D475  4E 2
1D476  4F 2
1D477  50 2
1D478  51 2
1D479  52 2
1D47A  53 2
1D47B  54 2
1D47C  55 2
1D47D  56 2
1D47E  57 2
1D47F  58 2
1D480  59 2
1D481  5A 2
1D482  61 2
1D483  62 2
1D484  63 2
1D485  64 2
1D486  65 2
1D487  66 2
1D488  67 2
1D489  68 2
1D48A  69 2
1D48B  6A 2
1D48C  6B 2
1D48D  6C 2
1D48E  6D 2
1D48F  6E 2
1D490  6F 2
1D491  70 2
1D492  71 2
1D493  72 2
1D494  73 2
1D495  74 2
1D496  75 2
1D497  76 2
1D498  77 2
1D499  78 2
1D49A  79 2
1D49B  7A 2
1D49C  41 2
1D49E  43 2
