5C  A5 2
2E2  73 2
2E3  78 2
37E  3B 2
385  A8 3
386  391 3
387  B7 3
388  395 3
389  397 3
38A  399 3
38C  39F 3
38E  3A5 3
38F  3A9 3
390  3B9 3
3AA  399 3
3AB  3A5 3
3AC  3B1 3
3AD  3B5 3
3AE  3B7 3
3AF  3B9 3
3B0  3C5 3
3BC  75 2
3CA  3B9 3
3CB  3C5 3
3CC  3BF 3
3CD  3C5 3
3CE  3C9 3
3D0  3B2 3
3D1  3B8 3
3D2  3A5 3
3D5  3C6 3
3D6  3C0 3
3F0  3BA 3
3F1  3C1 3
3F2  3C2 3
3F4  398 3
3F5  3B5 3
3F9  3A3 3
400  415 3
403  413 3
40C  41A 3
40D  418 3
40E  423 3
450  435 3
453  433 3
45C  43A 3
45D  438 3
45E  443 3
4A4  41D 2
4A5  43D 2
4B4  422 2
4B5  442 2
4C1  416 3
4C2  436 3
4D0  410 3
4D1  430 3
4D2  410 3
4D3  430 3
4D4  410 2
4D5  430 2
4D6  415 3
4D7  435 3
4DC  416 3
4DD  436 3
4DE  417 3
4DF  437 3
4E2  418 3
4E3  438 3
4E4  418 3
4E5  438 3
4E6  41E 3
4E7  43E 3
4EC  42D 3
4ED  44D 3
4EE  423 3
4EF  443 3
4F0  423 3
4F1  443 3
4F2  423 3
4F3  443 3
4F4  427 3
4F5  447 3
4F8  42B 3
4F9  44B 3
58F  41 2
5F0  5D5 2
5F1  5D5 2
5F2  5D9 2
1D00  41 2
1D01  41 2
1D03  42 2
1D04  43 2
1D05  44 2
1D06  44 2
1D07  45 2
1D0A  4A 2
1D0B  4B 2
1D0C  4C 2
1D0D  4D 2
1D0F  4F 2
1D18  50 2
1D1B  54 2
1D1C  55 2
1D20  56 2
1D21  57 2
1D22  5A 2
1D2C  41 2
1D2D  C6 3
1D2E  42 2
1D30  44 2
1D31  45 2
1D33  47 2
1D34  48 2
1D35  49 2
1D36  4A 2
1D37  4B 2
1D38  4C 2
1D39  4D 2
1D3A  4E 2
1D3C  4F 2
1D3E  50 2
1D3F  52 2
1D40  54 2
1D41  55 2
1D42  57 2
1D43  61 2
1D47  62 2
1D48  64 2
1D49  65 2
1D4D  67 2
1D4F  6B 2
1D50  6D 2
1D51  14B 3
1D52  6F 2
1D56  70 2
1D57  74 2
1D58  75 2
1D5B  76 2
1D5D  3B2 3
1D5E  3B3 3
1D5F  3B4 3
1D60  3C6 3
1D61  3C7 3
1D62  69 2
1D63  72 2
1D64  75 2
1D65  76 2
1D66  3B2 3
1D67  3B3 3
1D68  3C1 3
1D69  3C6 3
1D6A  3C7 3
1D6B  75 2
1D6C  62 2
1D6D  64 2
1D6E  66 2
1D6F  6D 2
1D70  6E 2
1D71  70 2
1D72  72 2
1D73  72 2
1D74  73 2
1D75  74 2
1D76  7A 2
1D78  43D 3
1D7A  74 2
1D7B  49 2
1D7D  70 2
1D7E  55 2
1D80  62 2
1D81  64 2
1D82  66 2
1D83  67 2
1D84  6B 2
1D85  6C 2
1D86  6D 2
1D87  6E 2
1D88  70 2
1D89  72 2
1D8A  73 2
1D8C  76 2
1D8D  78 2
1D8E  7A 2
1D8F  61 2
1D91  64 2
1D92  65 2
1D93  65 2
1D96  69 2
1D99  75 2
1D9C  63 2
1D9E  F0 3
1DA0  66 2
1DBB  7A 2
1DBF  3B8 3
1E00  41 2
1E01  61 2
1E02  42 2
1E03  62 2
1E04  42 2
1E05  62 2
1E06  42 2
1E07  62 2
1E08  43 2
1E09  63 2
1E0A  44 2
1E0B  64 2
1E0C  44 2
1E0D  64 2
1E0E  44 2
1E0F  64 2
1E10  44 2
1E11  64 2
1E12  44 2
1E13  64 2
1E14  45 2
1E15  65 2
1E16  45 2
1E17  65 2
1E18  45 2
1E19  65 2
1E1A  45 2
1E1B  65 2
1E1C  45 2
1E1D  65 2
1E1E  46 2
1E1F  66 2
1E20  47 2
1E21  67 2
1E22  48 2
1E23  68 2
1E24  48 2
1E25  68 2
1E26  48 2
1E27  68 2
1E28  48 2
1E29  68 2
1E2A  48 2
1E2B  68 2
1E2C  49 2
1E2D  69 2
1E2E  49 2
1E2F  69 2
1E30  4B 2
1E31  6B 2
1E32  4B 2
1E33  6B 2
1E34  4B 2
1E35  6B 2
1E36  4C 2
1E37  6C 2
1E38  4C 2
1E39  6C 2
1E3A  4C 2
1E3B  6C 2
1E3C  4C 2
1E3D  6C 2
1E3E  4D 2
1E3F  6D 2
1E40  4D 2
1E41  6D 2
1E42  4D 2
1E43  6D 2
1E44  4E 2
1E45  6E 2
1E46  4E 2
1E47  6E 2
1E48  4E 2
1E49  6E 2
1E4A  4E 2
1E4B  6E 2
1E4C  4F 2
1E4D  6F 2
1E4E  4F 2
1E4F  6F 2
1E50  4F 2
1E51  6F 2
1E52  4F 2
1E53  6F 2
1E54  50 2
1E55  70 2
1E56  50 2
1E57  70 2
1E58  52 2
1E59  72 2
1E5A  52 2
1E5B  72 2
1E5C  52 2
1E5D  72 2
1E5E  52 2
1E5F  72 2
1E60  53 2
1E61  73 2
1E62  53 2
1E63  73 2
1E64  53 2
1E65  73 2
1E66  53 2
1E67  73 2
1E68  53 2
1E69  73 2
1E6A  54 2
1E6B  74 2
1E6C  54 2
1E6D  74 2
1E6E  54 2
1E6F  74 2
1E70  54 2
1E71  74 2
1E72  55 2
1E73  75 2
1E74  55 2
1E75  75 2
1E76  55 2
1E77  75 2
1E78  55 2
1E79  75 2
1E7A  55 2
1E7B  75 2
1E7C  56 2
1E7D  76 2
1E7E  56 2
1E7F  76 2
1E80  57 2
1E81  77 2
1E82  57 2
1E83  77 2
1E84  57 2
1E85  77 2
1E86  57 2
1E87  77 2
1E88  57 2
1E89  77 2
1E8A  58 2
1E8B  78 2
1E8C  58 2
1E8D  78 2
1E8E  59 2
1E8F  79 2
1E90  5A 2
1E91  7A 2
1E92  5A 2
1E93  7A 2
1E94  5A 2
1E95  7A 2
1E96  68 2
1E97  74 2
1E98  77 2
1E99  79 2
1E9A  61 2
1E9C  73 2
1E9D  73 2
1E9E  53 2
1EA0  41 2
1EA1  61 2
1EA2  41 2
1EA3  61 2
1EA4  41 2
1EA5  61 2
1EA6  41 2
1EA7  61 2
1EA8  41 2
1EA9  61 2
1EAA  41 2
1EAB  61 2
1EAC  41 2
1EAD  61 2
1EAE  41 2
1EAF  61 2
1EB0  41 2
1EB1  61 2
1EB2  41 2
1EB3  61 2
1EB4  41 2
1EB5  61 2
1EB6  41 2
1EB7  61 2
1EB8  45 2
1EB9  65 2
1EBA  45 2
1EBB  65 2
1EBC  45 2
1EBD  65 2
1EBE  45 2
1EBF  65 2
1EC0  45 2
1EC1  65 2
1EC2  45 2
1EC3  65 2
1EC4  45 2
1EC5  65 2
1EC6  45 2
1EC7  65 2
1EC8  49 2
1EC9  69 2
1ECA  49 2
1ECB  69 2
1ECC  4F 2
1ECD  6F 2
1ECE  4F 2
1ECF  6F 2
1ED0  4F 2
1ED1  6F 2
1ED2  4F 2
1ED3  6F 2
1ED4  4F 2
1ED5  6F 2
1ED6  4F 2
1ED7  6F 2
1ED8  4F 2
1ED9  6F 2
1EDA  4F 2
1EDB  6F 2
1EDC  4F 2
1EDD  6F 2
1EDE  4F 2
1EDF  6F 2
1EE0  4F 2
1EE1  6F 2
1EE2  4F 2
1EE3  6F 2
1EE4  55 2
1EE5  75 2
1EE6  55 2
1EE7  75 2
1EE8  55 2
1EE9  75 2
1EEA  55 2
1EEB  75 2
1EEC  55 2
1EED  75 2
1EEE  55 2
1EEF  75 2
1EF0  55 2
1EF1  75 2
1EF2  59 2
1EF3  79 2
1EF4  59 2
1EF5  79 2
1EF6  59 2
1EF7  79 2
1EF8  59 2
1EF9  79 2
1EFA  4C 2
1EFB  6C 2
1EFC  56 2
1EFD  76 2
1EFE  59 2
1EFF  79 2
1F00  3B1 3
1F01  3B1 3
1F02  3B1 3
1F03  3B1 3
1F04  3B1 3
1F05  3B1 3
1F06  3B1 3
1F07  3B1 3
1F08  391 3
1F09  391 3
1F0A  391 3
1F0B  391 3
1F0C  391 3
1F0D  391 3
1F0E  391 3
1F0F  391 3
1F10  3B5 3
1F11  3B5 3
1F12  3B5 3
1F13  3B5 3
1F14  3B5 3
1F15  3B5 3
1F18  395 3
1F19  395 3
1F1A  395 3
1F1B  395 3
1F1C  395 3
1F1D  395 3
1F20  3B7 3
1F21  3B7 3
1F22  3B7 3
1F23  3B7 3
1F24  3B7 3
1F25  3B7 3
1F26  3B7 3
1F27  3B7 3
1F28  397 3
1F29  397 3
1F2A  397 3
1F2B  397 3
1F2C  397 3
1F2D  397 3
1F2E  397 3
1F2F  397 3
1F30  3B9 3
1F31  3B9 3
1F32  3B9 3
1F33  3B9 3
1F34  3B9 3
1F35  3B9 3
1F36  3B9 3
1F37  3B9 3
1F38  399 3
1F39  399 3
1F3A  399 3
1F3B  399 3
1F3C  399 3
1F3D  399 3
1F3E  399 3
1F3F  399 3
1F40  3BF 3
1F41  3BF 3
1F42  3BF 3
1F43  3BF 3
1F44  3BF 3
1F45  3BF 3
1F48  39F 3
1F49  39F 3
1F4A  39F 3
1F4B  39F 3
1F4C  39F 3
1F4D  39F 3
1F50  3C5 3
1F51  3C5 3
1F52  3C5 3
1F53  3C5 3
1F54  3C5 3
1F55  3C5 3
1F56  3C5 3
1F57  3C5 3
1F59  3A5 3
1F5B  3A5 3
1F5D  3A5 3
1F5F  3A5 3
1F60  3C9 3
1F61  3C9 3
1F62  3C9 3
1F63  3C9 3
1F64  3C9 3
1F65  3C9 3
1F66  3C9 3
1F67  3C9 3
1F68  3A9 3
1F69  3A9 3
1F6A  3A9 3
